file,code,label
KeihanshinAreaStationCd,20621,真菅
KeihanshinAreaStationCd,20622,大和八木
KeihanshinAreaStationCd,20623,耳成
KeihanshinAreaStationCd,20624,大福
KeihanshinAreaStationCd,20625,桜井
KeihanshinAreaStationCd,20626,大和朝倉
KeihanshinAreaStationCd,20627,長谷寺
KeihanshinAreaStationCd,20628,榛原
KeihanshinAreaStationCd,20629,室生口大野
KeihanshinAreaStationCd,20630,三本松
KeihanshinAreaStationCd,20699,赤目口(以東)
KeihanshinAreaStationCd,20701,服部川
KeihanshinAreaStationCd,20702,信貴山口
KeihanshinAreaStationCd,20801,大阪阿部野橋
KeihanshinAreaStationCd,20802,河堀口
KeihanshinAreaStationCd,20803,北田辺
KeihanshinAreaStationCd,20804,今川
KeihanshinAreaStationCd,20805,針中野
KeihanshinAreaStationCd,20806,矢田
KeihanshinAreaStationCd,20807,河内天美
KeihanshinAreaStationCd,20808,布忍
KeihanshinAreaStationCd,20809,高見ノ里
KeihanshinAreaStationCd,20810,河内松原
KeihanshinAreaStationCd,20811,恵我ノ荘
KeihanshinAreaStationCd,20812,高鷲
KeihanshinAreaStationCd,20813,藤井寺
KeihanshinAreaStationCd,20814,土師ノ里
KeihanshinAreaStationCd,20815,道明寺
KeihanshinAreaStationCd,20816,古市
KeihanshinAreaStationCd,20817,駒ケ谷
KeihanshinAreaStationCd,20818,上ノ太子
KeihanshinAreaStationCd,20819,二上山
KeihanshinAreaStationCd,20820,二上神社口
KeihanshinAreaStationCd,20821,当麻寺
KeihanshinAreaStationCd,20822,磐城
KeihanshinAreaStationCd,20823,尺土
KeihanshinAreaStationCd,20824,高田市
KeihanshinAreaStationCd,20825,浮孔
KeihanshinAreaStationCd,20826,坊城
KeihanshinAreaStationCd,20827,橿原神宮西口
KeihanshinAreaStationCd,20828,橿原神宮前
KeihanshinAreaStationCd,20901,柏原
KeihanshinAreaStationCd,20902,柏原南口
KeihanshinAreaStationCd,21001,喜志
KeihanshinAreaStationCd,21002,富田林
KeihanshinAreaStationCd,21003,富田林西口
KeihanshinAreaStationCd,21004,川西
KeihanshinAreaStationCd,21005,滝谷不動
KeihanshinAreaStationCd,21006,汐ノ宮
KeihanshinAreaStationCd,21007,河内長野
KeihanshinAreaStationCd,21101,新庄
KeihanshinAreaStationCd,21102,忍海
KeihanshinAreaStationCd,21103,近鉄御所
KeihanshinAreaStationCd,21201,岡寺
KeihanshinAreaStationCd,21202,飛鳥
KeihanshinAreaStationCd,21203,壺阪山
KeihanshinAreaStationCd,21204,市尾
KeihanshinAreaStationCd,21205,葛
KeihanshinAreaStationCd,21206,吉野口
KeihanshinAreaStationCd,21207,薬水
KeihanshinAreaStationCd,21208,福神
KeihanshinAreaStationCd,21209,大阿太
KeihanshinAreaStationCd,21210,下市口
KeihanshinAreaStationCd,21211,越部
KeihanshinAreaStationCd,21212,六田
KeihanshinAreaStationCd,21299,大和上市(以東)
KeihanshinAreaStationCd,21301,京都
KeihanshinAreaStationCd,21302,東寺
KeihanshinAreaStationCd,21303,十条
KeihanshinAreaStationCd,21304,上鳥羽口
KeihanshinAreaStationCd,21305,竹田
KeihanshinAreaStationCd,21306,伏見
KeihanshinAreaStationCd,21307,近鉄丹波橋
KeihanshinAreaStationCd,21308,桃山御陵前
KeihanshinAreaStationCd,21309,向島
KeihanshinAreaStationCd,21310,小倉
KeihanshinAreaStationCd,21311,伊勢田
KeihanshinAreaStationCd,21312,大久保
KeihanshinAreaStationCd,21313,久津川
KeihanshinAreaStationCd,21314,寺田
KeihanshinAreaStationCd,21315,富野荘
KeihanshinAreaStationCd,21316,新田辺
KeihanshinAreaStationCd,21317,興戸
KeihanshinAreaStationCd,21318,三山木
KeihanshinAreaStationCd,21319,近鉄宮津
KeihanshinAreaStationCd,21320,狛田
KeihanshinAreaStationCd,21321,新祝園
KeihanshinAreaStationCd,21322,木津川台
KeihanshinAreaStationCd,21323,山田川
KeihanshinAreaStationCd,21324,高の原
KeihanshinAreaStationCd,21325,平城
KeihanshinAreaStationCd,21401,尼ヶ辻
